FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,AGE,Età,INACTIVITY_REASON,Motivo inattività,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),1,Maschi,Y15-64,15-64 anni,RET,'Pensione, non interessa anche per motivi di età',2025-Q3,635.092,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),1,Maschi,Y15-64,15-64 anni,RET,'Pensione, non interessa anche per motivi di età',2025-Q4,639.035,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),1,Maschi,Y15-64,15-64 anni,OTH_REAS,Altri motivi,2023-Q4,865.15,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),1,Maschi,Y15-64,15-64 anni,OTH_REAS,Altri motivi,2024-Q1,919.386,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),1,Maschi,Y15-64,15-64 anni,OTH_REAS,Altri motivi,2024-Q2,895.601,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),1,Maschi,Y15-64,15-64 anni,OTH_REAS,Altri motivi,2024-Q3,919.626,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),1,Maschi,Y15-64,15-64 anni,OTH_REAS,Altri motivi,2024-Q4,904.019,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),1,Maschi,Y15-64,15-64 anni,OTH_REAS,Altri motivi,2025-Q1,817.897,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),1,Maschi,Y15-64,15-64 anni,OTH_REAS,Altri motivi,2025-Q2,809.018,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),1,Maschi,Y15-64,15-64 anni,OTH_REAS,Altri motivi,2025-Q3,863.476,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),1,Maschi,Y15-64,15-64 anni,OTH_REAS,Altri motivi,2025-Q4,830.298,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),1,Maschi,Y15-64,15-64 anni,ALL,Tutte le voci,2023-Q4,4458.082,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),1,Maschi,Y15-64,15-64 anni,ALL,Tutte le voci,2024-Q1,4524.551,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),1,Maschi,Y15-64,15-64 anni,ALL,Tutte le voci,2024-Q2,4534.873,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),1,Maschi,Y15-64,15-64 anni,ALL,Tutte le voci,2024-Q3,4555.753,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),1,Maschi,Y15-64,15-64 anni,ALL,Tutte le voci,2024-Q4,4568.997,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),1,Maschi,Y15-64,15-64 anni,ALL,Tutte le voci,2025-Q1,4483.87,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),1,Maschi,Y15-64,15-64 anni,ALL,Tutte le voci,2025-Q2,4459.679,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),1,Maschi,Y15-64,15-64 anni,ALL,Tutte le voci,2025-Q3,4588.604,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),1,Maschi,Y15-64,15-64 anni,ALL,Tutte le voci,2025-Q4,4669.452,,
